assessment_id,employee_id,skill,proficiency_level,self_rated,manager_rated,assessed_date
ASS000120,EMP0030,Finance,Expert,5,,2026-03-14
ASS000121,EMP0030,Machine Learning,Advanced,2,1.0,2026-03-16
ASS000122,EMP0030,Communication,Intermediate,1,1.0,2026-05-17
ASS000123,EMP0030,Leadership,Expert,4,1.0,2026-05-31
ASS000124,EMP0030,Data Analysis,Intermediate,3,1.0,2026-03-17
ASS000125,EMP0030,Sales,Intermediate,4,2.0,2026-01-17
ASS000126,EMP0031,Negotiation,Advanced,1,,2026-01-17
ASS000127,EMP0031,Agile,Expert,5,3.0,2026-01-05
ASS000128,EMP0031,Data Analysis,Advanced,1,2.0,2025-12-28
ASS000129,EMP0031,Leadership,Intermediate,4,2.0,2026-03-10
ASS000130,EMP0033,Leadership,Advanced,1,,2026-03-08
ASS000131,EMP0033,Negotiation,Intermediate,3,1.0,2026-01-17
ASS000132,EMP0033,Sales,Intermediate,2,,2026-03-15
ASS000133,EMP0033,Compliance,Expert,1,,2026-05-14
ASS000134,EMP0034,Leadership,Advanced,4,1.0,2026-06-06
ASS000135,EMP0034,Python,Intermediate,1,,2026-01-02
ASS000136,EMP0034,Machine Learning,Expert,3,,2026-03-02
ASS000137,EMP0034,Azure,Advanced,3,3.0,2026-03-30
ASS000138,EMP0034,Agile,Advanced,4,1.0,2026-05-09
ASS000139,EMP0034,Sales,Intermediate,1,2.0,2026-04-19
ASS000140,EMP0034,Finance,Beginner,2,1.0,2026-05-24
ASS000141,EMP0035,Leadership,Intermediate,2,5.0,2026-04-16
ASS000142,EMP0035,Python,Intermediate,1,3.0,2026-02-04
ASS000143,EMP0035,Project Management,Expert,5,2.0,2026-04-20
ASS000144,EMP0035,Negotiation,Beginner,3,3.0,2026-05-18
ASS000145,EMP0035,Communication,Advanced,5,2.0,2026-02-28
ASS000146,EMP0035,SQL,Intermediate,3,4.0,2026-03-18
ASS000147,EMP0036,Finance,Intermediate,2,2.0,2026-04-02
ASS000148,EMP0036,Data Analysis,Beginner,3,4.0,2025-12-18
ASS000149,EMP0036,Machine Learning,Beginner,5,,2026-05-04
ASS000150,EMP0036,Sales,Intermediate,4,2.0,2026-03-03
ASS000151,EMP0036,Excel,Beginner,2,2.0,2026-01-09
ASS000152,EMP0036,Azure,Beginner,5,3.0,2026-04-21
ASS000153,EMP0037,Communication,Beginner,4,4.0,2025-12-16
ASS000154,EMP0037,SQL,Beginner,3,2.0,2025-12-19
ASS000155,EMP0037,Project Management,Beginner,2,2.0,2026-01-29
ASS000156,EMP0038,Machine Learning,Expert,2,4.0,2026-01-15
ASS000157,EMP0038,Python,Beginner,5,2.0,2026-05-07
ASS000158,EMP0038,Project Management,Intermediate,5,1.0,2026-05-04
ASS000159,EMP0038,Communication,Intermediate,5,5.0,2026-01-08
ASS000160,EMP0038,Agile,Beginner,1,2.0,2025-12-16
ASS000161,EMP0039,SQL,Intermediate,2,4.0,2026-03-07
ASS000162,EMP0039,Power BI,Advanced,2,1.0,2026-02-10
ASS000163,EMP0039,Compliance,Advanced,5,4.0,2026-05-03
ASS000164,EMP0039,Communication,Expert,2,2.0,2025-12-23
ASS000165,EMP0039,Python,Expert,2,,2026-04-25
ASS000166,EMP0039,Sales,Beginner,1,2.0,2026-03-03
ASS000167,EMP0040,Data Analysis,Advanced,2,3.0,2026-03-16
ASS000168,EMP0040,Python,Expert,1,4.0,2026-05-19
ASS000169,EMP0040,Excel,Beginner,4,3.0,2026-03-06
ASS000170,EMP0040,Finance,Intermediate,3,3.0,2026-01-14
ASS000171,EMP0040,Communication,Advanced,4,,2026-03-28
ASS000172,EMP0040,Sales,Expert,3,5.0,2026-06-05
ASS000173,EMP0040,Leadership,Advanced,1,5.0,2026-02-02
ASS000174,EMP0043,Leadership,Beginner,2,5.0,2026-03-18
ASS000175,EMP0043,Project Management,Expert,2,2.0,2026-02-26
ASS000176,EMP0043,Compliance,Beginner,5,,2026-05-15
ASS000177,EMP0043,Finance,Intermediate,4,1.0,2026-04-27
ASS000178,EMP0043,Python,Expert,3,,2025-12-16
ASS000179,EMP0043,Communication,Beginner,3,,2026-03-17
ASS000180,EMP0044,Sales,Beginner,3,4.0,2026-03-26
ASS000181,EMP0044,Data Analysis,Beginner,2,,2026-05-23
ASS000182,EMP0044,Communication,Expert,4,4.0,2026-05-29
ASS000183,EMP0045,Compliance,Intermediate,1,3.0,2026-01-06
ASS000184,EMP0045,Leadership,Advanced,2,3.0,2025-12-27
ASS000185,EMP0045,Sales,Expert,1,,2026-04-07
ASS000186,EMP0045,SQL,Beginner,5,3.0,2026-03-29
ASS000187,EMP0045,Power BI,Beginner,5,1.0,2026-03-13
ASS000188,EMP0045,Project Management,Beginner,5,4.0,2026-03-15
ASS000189,EMP0045,Data Analysis,Beginner,3,,2026-03-14
ASS000190,EMP0047,Sales,Beginner,3,,2026-03-03
ASS000191,EMP0047,SQL,Advanced,4,4.0,2026-04-26
ASS000192,EMP0047,Negotiation,Intermediate,3,1.0,2026-02-13
ASS000193,EMP0047,Python,Beginner,1,,2026-05-21
ASS000194,EMP0047,Project Management,Beginner,1,1.0,2026-05-18
ASS000195,EMP0047,Excel,Beginner,4,3.0,2025-12-16
ASS000196,EMP0048,Power BI,Intermediate,2,5.0,2026-01-14
ASS000197,EMP0048,Python,Beginner,1,,2026-04-21
ASS000198,EMP0048,Leadership,Intermediate,5,4.0,2026-02-20
ASS000199,EMP0048,Compliance,Expert,3,3.0,2026-04-14
ASS000200,EMP0048,Agile,Intermediate,5,5.0,2026-05-28
ASS000201,EMP0048,Finance,Expert,3,,2026-05-08
ASS000202,EMP0048,Excel,Intermediate,3,,2026-04-19
ASS000203,EMP0048,Project Management,Advanced,2,,2025-12-27
ASS000204,EMP0049,Excel,Advanced,1,3.0,2025-12-29
ASS000205,EMP0049,SQL,Intermediate,2,5.0,2026-05-09
ASS000206,EMP0049,Leadership,Intermediate,4,4.0,2026-05-04
ASS000207,EMP0049,Negotiation,Expert,4,4.0,2026-05-09
ASS000208,EMP0049,Azure,Beginner,5,4.0,2026-05-09
ASS000209,EMP0049,Project Management,Beginner,4,1.0,2026-05-15
ASS000210,EMP0055,Data Analysis,Beginner,3,,2026-04-09
ASS000211,EMP0055,Excel,Beginner,5,,2026-05-19
ASS000212,EMP0055,Machine Learning,Advanced,5,3.0,2026-05-03
ASS000213,EMP0055,Negotiation,Beginner,3,3.0,2026-02-13
ASS000214,EMP0055,Communication,Beginner,5,5.0,2026-03-06
ASS000215,EMP0056,Power BI,Advanced,2,5.0,2026-01-01
ASS000216,EMP0056,Excel,Beginner,1,,2025-12-22
ASS000217,EMP0056,Leadership,Advanced,1,3.0,2026-03-01
ASS000218,EMP0056,Azure,Expert,5,3.0,2026-04-06
ASS000219,EMP0057,Compliance,Advanced,5,5.0,2026-04-19
ASS000220,EMP0057,Power BI,Intermediate,1,4.0,2026-04-30
ASS000221,EMP0057,SQL,Intermediate,3,5.0,2025-12-13
ASS000222,EMP0057,Azure,Beginner,2,,2026-05-27
ASS000223,EMP0058,Excel,Beginner,3,3.0,2026-03-27
ASS000224,EMP0058,Power BI,Intermediate,5,4.0,2026-06-08
ASS000225,EMP0058,Leadership,Beginner,5,,2025-12-23
ASS000226,EMP0058,Machine Learning,Advanced,4,3.0,2026-04-08
ASS000227,EMP0058,Project Management,Advanced,4,1.0,2026-02-06
ASS000228,EMP0058,Compliance,Intermediate,5,,2026-03-09
ASS000229,EMP0059,Project Management,Advanced,4,2.0,2025-12-27
ASS000230,EMP0059,Negotiation,Advanced,4,,2026-01-16
ASS000231,EMP0059,Data Analysis,Expert,3,3.0,2026-02-16
ASS000232,EMP0060,Machine Learning,Expert,4,5.0,2026-03-22
ASS000233,EMP0060,Compliance,Expert,5,5.0,2026-03-11
ASS000234,EMP0060,Power BI,Expert,3,,2026-02-13
ASS000235,EMP0060,Communication,Advanced,4,1.0,2026-01-26
ASS000236,EMP0062,Python,Intermediate,4,1.0,2026-04-24
ASS000237,EMP0062,SQL,Advanced,5,4.0,2026-02-14
ASS000238,EMP0062,Machine Learning,Beginner,5,,2026-02-22
ASS000239,EMP0062,Power BI,Intermediate,5,1.0,2026-01-10
ASS000240,EMP0062,Finance,Advanced,5,,2026-02-06
ASS000241,EMP0063,Machine Learning,Expert,1,1.0,2026-02-19
ASS000242,EMP0063,Azure,Expert,5,2.0,2026-04-27
ASS000243,EMP0063,Communication,Intermediate,2,1.0,2026-05-18
ASS000244,EMP0063,Negotiation,Expert,1,3.0,2026-04-09
ASS000245,EMP0063,Sales,Advanced,5,,2026-02-10
ASS000246,EMP0063,Leadership,Intermediate,1,2.0,2026-04-27
ASS000247,EMP0065,Project Management,Intermediate,1,,2026-03-06
ASS000248,EMP0065,Sales,Intermediate,4,,2026-03-01
ASS000249,EMP0065,Excel,Intermediate,3,,2026-05-29
ASS000250,EMP0065,Azure,Advanced,4,,2025-12-23
ASS000251,EMP0066,Power BI,Intermediate,5,4.0,2026-03-27
ASS000252,EMP0066,Sales,Intermediate,5,5.0,2026-05-07
ASS000253,EMP0066,SQL,Beginner,4,3.0,2026-04-25
ASS000254,EMP0067,Leadership,Expert,4,,2026-03-05
ASS000255,EMP0067,Machine Learning,Advanced,3,,2025-12-17
ASS000256,EMP0067,Data Analysis,Intermediate,5,2.0,2026-02-15
ASS000257,EMP0067,Agile,Intermediate,1,5.0,2026-04-27
ASS000258,EMP0067,Finance,Expert,4,3.0,2026-05-22
ASS000259,EMP0069,Excel,Intermediate,5,2.0,2026-04-25
ASS000260,EMP0069,Communication,Advanced,4,3.0,2026-01-10
ASS000261,EMP0069,Machine Learning,Beginner,2,,2026-01-23
ASS000262,EMP0069,Negotiation,Intermediate,5,4.0,2025-12-29
ASS000263,EMP0069,Finance,Intermediate,2,1.0,2026-01-20
ASS000264,EMP0069,Data Analysis,Expert,4,3.0,2026-01-05
ASS000265,EMP0069,Agile,Expert,4,2.0,2026-03-04
ASS000266,EMP0070,Negotiation,Expert,4,2.0,2026-01-09
ASS000267,EMP0070,Sales,Beginner,5,4.0,2026-03-08
ASS000268,EMP0070,Finance,Intermediate,3,1.0,2026-05-04
ASS000269,EMP0070,Leadership,Beginner,4,,2026-03-25
ASS000270,EMP0070,Power BI,Intermediate,2,,2026-04-13
ASS000271,EMP0070,Project Management,Advanced,3,3.0,2026-06-02
ASS000272,EMP0070,Compliance,Expert,2,,2026-04-16
ASS000273,EMP0071,Compliance,Beginner,1,,2026-01-21
ASS000274,EMP0071,Finance,Advanced,5,5.0,2026-03-12
ASS000275,EMP0071,Project Management,Intermediate,1,4.0,2026-01-23
ASS000276,EMP0071,Agile,Intermediate,2,4.0,2026-06-08
ASS000277,EMP0072,Excel,Advanced,1,2.0,2026-02-13
ASS000278,EMP0072,Negotiation,Advanced,3,,2026-03-01
ASS000279,EMP0072,Power BI,Intermediate,5,4.0,2026-04-16
ASS000280,EMP0073,Excel,Expert,4,5.0,2026-05-26
ASS000281,EMP0073,SQL,Beginner,3,4.0,2026-04-14
ASS000282,EMP0073,Compliance,Advanced,4,4.0,2026-01-25
ASS000283,EMP0075,Communication,Advanced,3,3.0,2026-05-05
ASS000284,EMP0075,Compliance,Expert,4,2.0,2026-01-16
ASS000285,EMP0075,Finance,Intermediate,5,2.0,2026-02-04
ASS000286,EMP0075,Leadership,Advanced,3,4.0,2025-12-17
ASS000287,EMP0075,Agile,Beginner,4,2.0,2026-04-22
ASS000288,EMP0075,Machine Learning,Advanced,3,5.0,2026-04-22
ASS000289,EMP0075,Python,Advanced,2,1.0,2026-03-16
ASS000290,EMP0077,Python,Beginner,1,,2026-04-30
ASS000291,EMP0077,Sales,Beginner,2,2.0,2026-04-02
ASS000292,EMP0077,Data Analysis,Beginner,1,,2026-03-19
ASS000293,EMP0077,Machine Learning,Expert,1,4.0,2026-01-08
ASS000294,EMP0077,Leadership,Intermediate,2,5.0,2026-04-11
ASS000295,EMP0077,Azure,Beginner,3,5.0,2026-05-11
ASS000296,EMP0078,Python,Beginner,1,2.0,2026-01-20
ASS000297,EMP0078,Data Analysis,Expert,3,2.0,2026-02-12
ASS000298,EMP0078,Sales,Expert,4,,2026-04-13
ASS000299,EMP0080,Project Management,Advanced,5,5.0,2026-02-20
ASS000300,EMP0080,Agile,Expert,5,3.0,2026-02-18
ASS000301,EMP0080,Power BI,Expert,3,5.0,2026-04-01
ASS000302,EMP0080,Data Analysis,Advanced,3,,2026-02-16
ASS000303,EMP0080,Compliance,Advanced,2,4.0,2026-01-06
ASS000304,EMP0080,SQL,Beginner,4,,2026-03-21
ASS000305,EMP0080,Leadership,Advanced,3,5.0,2026-01-24
ASS000306,EMP0080,Communication,Advanced,2,2.0,2026-05-04
ASS000307,EMP0081,Agile,Beginner,4,1.0,2026-05-30
ASS000308,EMP0081,Leadership,Beginner,5,2.0,2025-12-29
ASS000309,EMP0081,Power BI,Advanced,3,3.0,2026-02-11
ASS000310,EMP0081,Python,Intermediate,1,1.0,2026-05-13
ASS000311,EMP0081,Project Management,Intermediate,4,5.0,2026-05-31
ASS000312,EMP0081,Data Analysis,Advanced,4,,2026-03-21
ASS000313,EMP0081,Machine Learning,Intermediate,3,2.0,2026-05-20
ASS000314,EMP0081,Finance,Advanced,2,,2025-12-29
ASS000315,EMP0082,Negotiation,Intermediate,5,,2026-05-10
ASS000316,EMP0082,Excel,Expert,2,,2026-05-22
ASS000317,EMP0082,Compliance,Beginner,5,,2026-01-14
ASS000318,EMP0082,Python,Beginner,5,3.0,2026-04-30
ASS000319,EMP0083,Power BI,Advanced,4,3.0,2025-12-28
ASS000320,EMP0083,Leadership,Intermediate,2,3.0,2026-02-08
ASS000321,EMP0083,Project Management,Expert,1,,2026-06-04
ASS000322,EMP0083,Machine Learning,Beginner,1,,2026-02-08
ASS000323,EMP0083,Compliance,Intermediate,3,3.0,2026-03-13
ASS000324,EMP0083,Negotiation,Beginner,2,,2026-05-09
ASS000325,EMP0083,Python,Expert,2,4.0,2026-03-27
ASS000326,EMP0083,Data Analysis,Expert,1,,2026-01-26
ASS000327,EMP0084,Compliance,Beginner,2,2.0,2026-03-19
ASS000328,EMP0084,Power BI,Beginner,2,,2026-02-05
ASS000329,EMP0084,SQL,Advanced,5,,2026-04-10
ASS000330,EMP0084,Finance,Beginner,5,5.0,2026-04-28
ASS000331,EMP0084,Agile,Beginner,5,4.0,2026-02-08
ASS000332,EMP0085,Power BI,Beginner,5,,2026-04-20
ASS000333,EMP0085,Azure,Intermediate,2,5.0,2026-05-01
ASS000334,EMP0085,SQL,Intermediate,1,2.0,2026-01-25
ASS000335,EMP0085,Machine Learning,Expert,4,3.0,2026-06-09
ASS000336,EMP0085,Finance,Beginner,4,,2026-05-27
ASS000337,EMP0087,Azure,Advanced,1,1.0,2026-01-02
ASS000338,EMP0087,Negotiation,Intermediate,2,1.0,2026-05-08
ASS000339,EMP0087,Data Analysis,Intermediate,3,3.0,2026-04-05
ASS000340,EMP0087,Machine Learning,Advanced,4,,2026-03-17
ASS000341,EMP0087,SQL,Beginner,3,4.0,2026-05-10
ASS000342,EMP0087,Compliance,Expert,3,,2026-04-29
ASS000343,EMP0087,Sales,Expert,4,2.0,2026-02-19
ASS000344,EMP0087,Project Management,Expert,2,,2026-05-20
ASS000345,EMP0090,Finance,Intermediate,4,5.0,2026-05-01
ASS000346,EMP0090,Negotiation,Beginner,1,1.0,2026-02-10
ASS000347,EMP0090,Azure,Expert,1,5.0,2026-04-09
ASS000348,EMP0090,SQL,Expert,2,,2026-02-26
ASS000349,EMP0090,Communication,Expert,1,,2026-04-05
ASS000350,EMP0090,Python,Advanced,4,4.0,2026-02-26
ASS000351,EMP0091,Machine Learning,Beginner,4,,2026-04-22
ASS000352,EMP0091,Azure,Advanced,5,1.0,2026-04-03
ASS000353,EMP0091,Negotiation,Expert,1,,2025-12-20
ASS000354,EMP0091,Power BI,Expert,2,,2026-01-22
ASS000355,EMP0091,Compliance,Advanced,2,4.0,2026-02-15
ASS000356,EMP0091,Sales,Expert,3,,2026-04-25
ASS000357,EMP0091,Project Management,Intermediate,5,2.0,2026-01-27
ASS000358,EMP0091,Python,Expert,3,1.0,2026-05-23
ASS000359,EMP0092,Project Management,Advanced,5,3.0,2026-02-18
ASS000360,EMP0092,Power BI,Advanced,1,,2026-05-09
ASS000361,EMP0092,Compliance,Beginner,5,1.0,2026-01-22
ASS000362,EMP0092,Data Analysis,Advanced,5,2.0,2026-03-04
ASS000363,EMP0092,Leadership,Expert,5,2.0,2026-03-27
ASS000364,EMP0092,Negotiation,Expert,2,5.0,2026-05-23
ASS000365,EMP0092,Finance,Intermediate,2,5.0,2025-12-14
ASS000366,EMP0093,Excel,Expert,3,5.0,2026-02-09
ASS000367,EMP0093,Negotiation,Expert,4,3.0,2026-03-21
ASS000368,EMP0093,Azure,Expert,4,3.0,2025-12-30
ASS000369,EMP0094,Azure,Expert,2,,2026-02-14
ASS000370,EMP0094,Project Management,Advanced,2,4.0,2026-02-27
ASS000371,EMP0094,Finance,Beginner,1,,2026-03-21
ASS000372,EMP0094,SQL,Advanced,1,1.0,2026-05-05
ASS000373,EMP0094,Power BI,Advanced,3,3.0,2026-03-06
ASS000374,EMP0094,Python,Intermediate,5,,2026-02-10
ASS000375,EMP0095,Azure,Beginner,1,1.0,2026-05-27
ASS000376,EMP0095,Negotiation,Intermediate,4,,2026-03-21
ASS000377,EMP0095,Communication,Intermediate,4,1.0,2026-05-12
ASS000378,EMP0095,SQL,Advanced,3,3.0,2026-02-23
ASS000379,EMP0095,Compliance,Advanced,3,,2026-02-26
ASS000380,EMP0095,Finance,Intermediate,4,3.0,2026-06-09
ASS000381,EMP0095,Data Analysis,Intermediate,4,3.0,2026-05-17
ASS000382,EMP0095,Machine Learning,Beginner,2,,2026-05-15
ASS000383,EMP0096,Excel,Expert,1,,2025-12-12
ASS000384,EMP0096,Sales,Beginner,1,4.0,2026-04-15
ASS000385,EMP0096,Compliance,Intermediate,2,2.0,2026-01-23
ASS000386,EMP0096,Leadership,Expert,5,3.0,2026-04-23
ASS000387,EMP0096,Agile,Intermediate,1,4.0,2026-05-04
ASS000388,EMP0096,Negotiation,Intermediate,4,2.0,2026-03-25
ASS000389,EMP0096,Machine Learning,Advanced,1,3.0,2026-05-23
ASS000390,EMP0096,Communication,Expert,1,5.0,2026-01-18
ASS000391,EMP0097,Python,Beginner,4,3.0,2025-12-17
ASS000392,EMP0097,Finance,Beginner,1,,2026-05-16
ASS000393,EMP0097,Negotiation,Advanced,1,,2026-05-18
ASS000394,EMP0097,Machine Learning,Advanced,5,,2026-05-29
ASS000395,EMP0097,Compliance,Expert,4,,2026-04-24
ASS000396,EMP0098,Power BI,Advanced,1,2.0,2026-04-05
ASS000397,EMP0098,Finance,Advanced,3,,2026-05-05
ASS000398,EMP0098,Project Management,Expert,4,3.0,2026-01-07
ASS000399,EMP0098,Machine Learning,Beginner,4,3.0,2026-05-24
ASS000400,EMP0098,Leadership,Expert,2,2.0,2026-03-18
ASS000401,EMP0098,Negotiation,Beginner,1,,2026-05-04
ASS000402,EMP0100,Compliance,Advanced,3,2.0,2026-02-10
ASS000403,EMP0100,SQL,Beginner,4,5.0,2026-01-24
ASS000404,EMP0100,Sales,Intermediate,4,,2026-05-02
ASS000405,EMP0100,Project Management,Expert,1,1.0,2025-12-21
ASS000406,EMP0100,Azure,Beginner,4,,2026-03-29
ASS000407,EMP0100,Excel,Beginner,2,5.0,2026-02-04
ASS000408,EMP0100,Machine Learning,Advanced,4,1.0,2026-05-03
ASS000409,EMP0100,Negotiation,Intermediate,1,5.0,2026-02-08
ASS000410,EMP0101,Excel,Advanced,2,5.0,2026-01-19
